NroTrx;sku;producto;cantidad;precio;subtotal;diasem;customerid;total;useragentbrowser;useragentoperatingsystem;useragentdevice
P000001;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33632;136.3;Edge;Windows;other
P000001;110601200006;Pollo trozado x 8 pzas S/M;2;16.5;33;Dom;33632;136.3;Edge;Windows;other
P000001;110601400016;Filete de Pechuga;1;30;30;Dom;33632;136.3;Edge;Windows;other
P000001;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Dom;33632;136.3;Edge;Windows;other
P000001;110603500048;Filete a la Pimienta;2;13.5;27;Dom;33632;136.3;Edge;Windows;other
P000001;110603700015;Hamburguesa Premium;1;8.3;8.3;Dom;33632;136.3;Edge;Windows;other
P000002;110601200016;Muslos Frescos;1;54;54;Dom;33636;74.7;Chrome Mobile;Android;other
P000002;110603500013;Nuggets con Quinua;1;8.2;8.2;Dom;33636;74.7;Chrome Mobile;Android;other
P000002;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Dom;33636;74.7;Chrome Mobile;Android;other
P000003;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33513;69;Chrome Mobile;Android;other
P000003;110601400016;Filete de Pechuga;1;30;30;Dom;33513;69;Chrome Mobile;Android;other
P000003;110603500029;Chicharron de Pechuga de Pollo;1;12.5;12.5;Dom;33513;69;Chrome Mobile;Android;other
P000003;110603500048;Filete a la Pimienta;1;13.5;13.5;Dom;33513;69;Chrome Mobile;Android;other
P000004;110501000031;Huevo Pardo Empacado;2;13;26;Dom;33641;66.6;Chrome Mobile;Android;other
P000004;110603500019;Deditos de Pollo;2;7.8;15.6;Dom;33641;66.6;Chrome Mobile;Android;other
P000004;110603500029;Chicharron de Pechuga de Pollo;2;12.5;25;Dom;33641;66.6;Chrome Mobile;Android;other
P000005;110501000031;Huevo Pardo Empacado;2;13;26;Dom;33596;56;Chrome;Windows;other
P000005;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Dom;33596;56;Chrome;Windows;other
P000005;110603500049;Filete  a la Criolla;1;13.5;13.5;Dom;33596;56;Chrome;Windows;other
P000006;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33588;64.3;Chrome;Windows;other
P000006;110601000027;Pollo Entero S/M;1;16;16;Dom;33588;64.3;Chrome;Windows;other
P000006;110603500019;Deditos de Pollo;1;7.8;7.8;Dom;33588;64.3;Chrome;Windows;other
P000006;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Dom;33588;64.3;Chrome;Windows;other
P000007;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33655;107.9;Chrome Mobile;Android;LG
P000007;110601000027;Pollo Entero S/M;2;16;32;Dom;33655;107.9;Chrome Mobile;Android;LG
P000007;110601200006;Pollo trozado x 8 pzas S/M;1;16.5;16.5;Dom;33655;107.9;Chrome Mobile;Android;LG
P000007;110601400016;Filete de Pechuga;1;30;30;Dom;33655;107.9;Chrome Mobile;Android;LG
P000007;110603500013;Nuggets con Quinua;2;8.2;16.4;Dom;33655;107.9;Chrome Mobile;Android;LG
P000008;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33667;73;Chrome;Windows;other
P000008;110601400016;Filete de Pechuga;2;30;60;Dom;33667;73;Chrome;Windows;other
P000009;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33670;165.1;Chrome Mobile;Android;other
P000009;110601200009;Pierna Encuentro Fresca;2;54;108;Dom;33670;165.1;Chrome Mobile;Android;other
P000009;110603700015;Hamburguesa Premium;2;8.3;16.6;Dom;33670;165.1;Chrome Mobile;Android;other
P000009;110603700039;Enrollado con Frutas Secas;1;27.5;27.5;Dom;33670;165.1;Chrome Mobile;Android;other
P000010;110501000031;Huevo Pardo Empacado;1;13;13;Dom;33671;169;Chrome;Windows;other
