NroTrx;customerid;total;useragentbrowser;useragentoperatingsystem;useragentdevice;diasem
P000001;33632;136.3;Edge;Windows;other;Dom
P000002;33636;74.7;Chrome Mobile;Android;other;Dom
P000003;33513;69;Chrome Mobile;Android;other;Dom
P000004;33641;66.6;Chrome Mobile;Android;other;Dom
P000005;33596;56;Chrome;Windows;other;Dom
P000006;33588;64.3;Chrome;Windows;other;Dom
P000007;33655;107.9;Chrome Mobile;Android;LG;Dom
P000008;33667;73;Chrome;Windows;other;Dom
P000009;33670;165.1;Chrome Mobile;Android;other;Dom
P000010;33671;169;Chrome;Windows;other;Dom
P000011;33669;53;Safari;Mac OS X;other;Dom
P000012;33665;122.6;Firefox;Windows;other;Dom
P000013;33673;50.8;Chrome Mobile;Android;other;Dom
P000014;33672;53.3;Chrome;Windows;other;Dom
P000015;33674;83.5;Safari;Mac OS X;other;Dom
P000016;33677;93;Chrome;Windows;other;Dom
P000017;33678;186.7;Chrome;Windows;other;Dom
P000018;33679;53.3;Chrome Mobile;Android;other;Dom
P000019;33681;56;Chrome Mobile iOS;iOS;iPhone;Dom
P000020;33682;171.3;Safari;Mac OS X;other;Dom
P000021;33684;249.2;Mobile Safari;iOS;iPhone;Dom
P000022;33686;58;Chrome;Windows;other;Dom
P000023;33691;102.1;Mobile Safari;iOS;iPhone;Dom
P000024;33696;66;Mobile Safari;iOS;iPhone;Dom
P000025;33697;58.5;Chrome Mobile;Android;other;Dom
P000026;33699;143.5;Chrome Mobile;Android;other;Dom
P000027;33701;160.3;Mobile Safari;iOS;iPhone;Dom
P000028;33690;98;Mobile Safari;iOS;iPhone;Dom
P000029;33706;113.9;Chrome;Windows;other;Dom
P000030;33707;104.3;Facebook;Android;other;Dom
P000031;33709;57;Chrome;Mac OS X;other;Dom
P000032;33712;77;Mobile Safari;iOS;iPad;Dom
P000033;33715;97;Mobile Safari;iOS;iPhone;Lun
P000034;33716;129;Chrome;Windows;other;Lun
P000035;33718;92.4;Chrome Mobile;Android;other;Lun
P000036;33719;55;Facebook;Android;Samsung;Lun
P000037;33722;95.6;Facebook;Android;Samsung;Lun
P000038;33723;71;Firefox;Windows;other;Lun
P000039;33721;87;Chrome;Windows;other;Lun
P000040;33726;130.4;Chrome;Windows;other;Lun
P000041;33728;59;Chrome;Windows;other;Lun
P000042;33727;69.3;Mobile Safari;iOS;iPhone;Lun
P000043;33729;62;Chrome Mobile;Android;other;Lun
P000044;33730;109.5;Chrome Mobile iOS;iOS;iPhone;Lun
P000045;33732;59.5;Mobile Safari;iOS;iPhone;Lun
P000046;33733;139.1;Chrome Mobile;Android;other;Lun
P000047;33734;52.8;Chrome Mobile iOS;iOS;iPhone;Lun
P000048;33737;59.2;Mobile Safari;iOS;iPhone;Lun
P000049;33738;56.7;Chrome Mobile;Android;other;Lun
P000050;33739;141;Chrome;Windows;other;Lun
P000051;33742;60;Mobile Safari;WKWebView;iOS;Lun
P000052;33747;147.1;Mobile Safari;iOS;iPhone;Lun
P000053;33750;73.2;Mobile Safari;iOS;iPhone;Lun
P000054;33730;55;Chrome Mobile iOS;iOS;iPhone;Lun
P000055;33748;83.8;Edge;Windows;other;Lun
P000056;33744;107.5;Chrome;Windows;other;Lun
P000057;33741;99;Chrome;Windows;other;Lun
P000058;33751;78.4;Chrome;Windows;other;Lun
P000059;33746;70.8;Chrome;Windows;other;Lun
P000060;33753;62.6;Chrome;Windows;other;Lun
P000061;33752;69;Mobile Safari;iOS;iPhone;Lun
P000062;33757;76;Mobile Safari;WKWebView;iOS;Lun
P000063;33740;57;Chrome;Windows;other;Lun
P000064;33756;85.8;Chrome;Windows;other;Lun
P000065;33760;104.5;Chrome;Windows;other;Lun
P000066;33764;52.8;Safari;Mac OS X;other;Lun
P000067;33761;104.8;Mobile Safari;iOS;iPhone;Lun
P000068;33754;61.6;Mobile Safari;WKWebView;iOS;Lun
P000069;33766;56.6;Mobile Safari;WKWebView;iOS;Lun
P000070;33743;189.7;Chrome;Windows;other;Lun
P000071;33767;147;Chrome;Windows;other;Lun
P000072;33771;86;Chrome Mobile;Android;other;Lun
P000073;33768;59.5;Mobile Safari;iOS;iPhone;Lun
P000074;33758;87.5;Safari;Mac OS X;other;Lun
P000075;33774;84;Chrome;Windows;other;Lun
P000076;33778;103.5;Mobile Safari;WKWebView;iOS;Lun
P000077;33745;119;Chrome;Windows;other;Lun
P000078;33783;55;Chrome Mobile;Android;other;Lun
P000079;33780;52;Mobile Safari;iOS;iPhone;Lun
P000080;33785;71.3;Edge;Windows;other;Lun
P000081;33762;159;Chrome;Windows;other;Lun
P000082;33790;179.4;Samsung Internet;Android;Samsung;Lun
P000083;33788;55.6;Chrome;Windows;other;Lun
P000084;33755;145.2;Mobile Safari;WKWebView;iOS;Lun
P000085;33749;215;Chrome Mobile;Android;other;Lun
P000086;33789;96.8;Mobile Safari;iOS;iPhone;Lun
P000087;33776;170;Chrome Mobile;Android;other;Lun
P000088;33784;167.3;Mobile Safari;iOS;iPhone;Lun
P000089;33769;54;Chrome;Windows;other;Lun
P000090;33781;68.5;Edge;Windows;other;Lun
P000091;33787;90;Chrome;Windows;other;Lun
P000092;33796;64.8;Mobile Safari;iOS;iPhone;Lun
P000093;33793;144;Chrome;Windows;other;Lun
P000094;33797;110.8;Mobile Safari;iOS;iPhone;Lun
P000095;33803;57;Chrome;Windows;other;Lun
P000096;33808;132.5;Chrome Mobile;Android;other;Lun
P000097;33795;157.6;Chrome;Windows;other;Lun
P000098;33810;155;Mobile Safari;WKWebView;iOS;Lun
P000099;33801;150.8;Chrome Mobile;Android;other;Lun
P000100;33813;128;Mobile Safari;WKWebView;iOS;Lun
P000101;33786;148.4;Chrome Mobile;Android;other;Lun
P000102;33815;77;Chrome Mobile;Android;other;Lun
P000103;33805;97;Chrome;Windows;other;Lun
P000104;33799;139;Chrome Mobile;Android;other;Lun
P000105;33819;54.2;Mobile Safari;iOS;iPhone;Lun
P000106;33817;97.7;Chrome Mobile;Android;other;Lun
P000107;33814;120.5;Facebook;Android;Moto;Lun
P000108;33802;76.6;Chrome;Windows;other;Lun
P000109;33821;109;Chrome;Windows;other;Lun
P000110;33823;91;Chrome Mobile;Android;other;Lun
P000111;33804;112.5;Chrome;Mac OS X;other;Lun
P000112;33816;113.5;Mobile Safari;iOS;iPhone;Lun
P000113;33782;52.1;Chrome;Windows;other;Lun
P000114;33825;86;Chrome Mobile;Android;other;Lun
P000115;33802;76.6;Chrome;Windows;other;Lun
P000116;33828;170.4;Facebook;Android;Samsung;Lun
P000117;33800;73;Chrome;Windows;other;Lun
P000118;33830;54;Chrome;Windows;other;Lun
P000119;33831;85.5;Mobile Safari;iOS;iPhone;Lun
P000120;33826;101.5;Mobile Safari;iOS;iPhone;Lun
P000121;33811;227;Chrome;Mac OS X;other;Lun
P000122;33836;100;Mobile Safari;iOS;iPhone;Lun
P000123;33818;98.6;Chrome;Mac OS X;other;Lun
P000124;33833;266.6;Mobile Safari;iOS;iPhone;Lun
P000125;33835;59.3;Chrome;Mac OS X;other;Lun
P000126;33829;72.2;Chrome;Windows;other;Lun
P000127;33837;139.3;Chrome;Windows;other;Lun
P000128;33809;60;Chrome;Windows;other;Lun
P000129;33791;183.4;Chrome Mobile iOS;iOS;iPhone;Lun
P000130;33839;107;Chrome Mobile;Android;other;Lun
P000131;33807;103;Mobile Safari;iOS;iPhone;Lun
P000132;33847;96.7;Chrome;Windows;other;Lun
P000133;33772;74.5;Chrome;Windows;other;Lun
